tickerId,unSymbol,symbol,direction,strikePrice,Ask_Price,Ask_Volume,Bid_Price,Bid_Volume,expireDate,tradeTime,tradeStamp,impVol,volume,close,preClose,open,high,low,delta,vega,gamma,theta,rho,changeRatio,change,weekly,activeLevel,openIntChange
1019321031,VXX,VXX210401C00026000,call,26,6.35,30,6.25,20,2021-04-01,2021-03-29T14:12:24.617+0000,1617028227501,1.8364,635,0.03,0.01,0.01,0.03,0.01,0.0028,0.0001,0.0027,-0.0035,0.0000,2.0000,0.02,1,25,4.0
1019321024,VXX,VXX210401P00026000,put,26,6.35,30,6.25,20,2021-04-01,2021-03-23T18:04:00.000+0000,1617028227766,,0,13.70,13.70,,,,-0.9998,0.0000,0.0003,-0.0002,-0.0028,0.0000,0.00,1,25,0.0
1019321025,VXX,VXX210401C00027000,call,27,6.35,30,6.25,20,2021-04-01,2021-03-29T14:02:52.977+0000,1617028226958,1.8872,139,0.01,0.01,0.01,0.01,0.01,0.0027,0.0001,0.0025,-0.0035,0.0000,0.0000,0.00,1,26,385.0
1019321018,VXX,VXX210401P00027000,put,27,6.35,30,6.25,20,2021-04-01,2021-03-25T14:38:18.000+0000,1617028227822,,0,13.95,13.95,,,,-0.9998,0.0000,0.0003,-0.0001,-0.0030,0.0000,0.00,1,26,0.0
1019321021,VXX,VXX210401C00028000,call,28,6.35,30,6.25,20,2021-04-01,2021-03-29T14:10:07.753+0000,1617028219749,1.9640,24,0.01,0.01,0.01,0.01,0.01,0.0026,0.0001,0.0023,-0.0035,0.0000,0.0000,0.00,1,27,6.0
1019321019,VXX,VXX210401P00028000,put,28,6.35,30,6.25,20,2021-04-01,2021-03-23T19:59:22.000+0000,1617028227822,,0,15.50,15.50,,,,-1.0000,0.0000,0.0000,0.0001,-0.0031,0.0000,0.00,1,27,0.0
1019321029,VXX,VXX210401C00029000,call,29,6.35,30,6.25,20,2021-04-01,2021-03-29T14:26:30.837+0000,1617028223790,2.0108,2,0.02,0.01,0.02,0.02,0.02,0.0025,0.0001,0.0022,-0.0035,0.0000,1.0000,0.01,1,28,0.0
1019321020,VXX,VXX210401P00029000,put,29,6.35,30,6.25,20,2021-04-01,2021-03-26T18:48:21.000+0000,1617028227744,,0,16.60,16.60,,,,-0.9902,0.0003,0.0062,-0.0137,-0.0032,0.0000,0.00,1,28,4.0
1019321027,VXX,VXX210401C00030000,call,30,6.35,30,6.25,20,2021-04-01,2021-03-29T14:04:57.940+0000,1617028226403,1.9801,50,0.01,0.02,0.01,0.01,0.01,0.0001,0.0000,0.0001,-0.0001,0.0000,-0.5000,-0.01,1,29,0.0
1019321028,VXX,VXX210401P00030000,put,30,6.35,30,6.25,20,2021-04-01,2021-03-25T13:58:34.000+0000,1617028219130,,0,17.20,17.20,,,,-1.0000,0.0000,0.0000,0.0001,-0.0033,0.0000,0.00,1,29,0.0
1019321033,VXX,VXX210401C00031000,call,31,6.35,30,6.25,20,2021-04-01,2021-03-25T15:30:35.000+0000,1617028209687,2.1013,0,0.02,0.02,,,,0.0001,0.0000,0.0001,-0.0001,0.0000,0.0000,0.00,1,30,0.0
1019321034,VXX,VXX210401P00031000,put,31,6.35,30,6.25,20,2021-04-01,2021-03-26T16:52:31.000+0000,1617028214472,,0,19.33,19.33,,,,-0.9968,0.0001,0.0025,-0.0047,-0.0034,0.0000,0.00,1,30,0.0
1019321035,VXX,VXX210401C00032000,call,32,6.35,30,6.25,20,2021-04-01,2021-03-25T15:05:57.000+0000,1617028108613,2.0967,0,0.02,0.02,,,,0.0001,0.0000,0.0001,-0.0001,0.0000,0.0000,0.00,1,31,0.0
1019321032,VXX,VXX210401P00032000,put,32,6.35,30,6.25,20,2021-04-01,2021-03-29T14:06:05.727+0000,1617028214266,,1,19.86,18.80,19.86,19.86,19.86,-1.0000,0.0000,0.0000,0.0001,-0.0035,0.0564,1.06,1,31,0.0
1019708556,VXX,VXX210401C00033000,call,33,6.35,30,6.25,20,2021-04-01,2021-03-29T13:44:05.171+0000,1617028108405,2.0922,500,0.01,0.01,0.01,0.01,0.01,0.0001,0.0000,0.0001,-0.0001,0.0000,0.0000,0.00,1,32,0.0
1019708557,VXX,VXX210401P00033000,put,33,6.35,30,6.25,20,2021-04-01,2021-03-23T19:49:02.000+0000,1617028213890,,0,20.45,20.45,,,,-1.0000,0.0000,0.0000,0.0001,-0.0036,0.0000,0.00,1,32,0.0
