,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2013-03-21,256.1099853515625,257.0,252.67999267578125,253.38999938964844,253.38999938964844,2806400,AMZN,259.07224,272.8699951171875,5.6822357177734375,0.0
2013-03-25,258.5799865722656,259.42999267578125,254.5,256.0199890136719,256.0199890136719,2513900,AMZN,261.05695,272.3399963378906,5.036956787109375,0.0
2013-04-09,258.8500061035156,262.6099853515625,257.0,261.1400146484375,261.1400146484375,2156600,AMZN,265.4876,253.80999755859372,0.0,-4.34759521484375
2013-04-10,261.7799987792969,265.9800109863281,259.32000732421875,264.7699890136719,264.7699890136719,2322500,AMZN,268.30603,248.22999572753906,0.0,-3.536041259765625
2013-04-24,269.5,271.4700012207031,266.80999755859375,268.7799987792969,268.7799987792969,1852800,AMZN,276.53473,266.55999755859375,0.0,-7.754730224609375
2013-04-29,254.89999389648438,257.010009765625,249.14999389648438,249.74000549316406,249.74000549316406,7117000,AMZN,255.8169,267.6300048828125,6.0768890380859375,0.0
2013-05-01,253.89999389648438,254.1999969482422,245.75,248.22999572753906,248.22999572753906,4391400,AMZN,255.92111,262.9599914550781,7.6911163330078125,0.0
2013-05-02,248.94000244140625,252.92999267578125,245.77999877929688,252.5500030517578,252.5500030517578,3936200,AMZN,252.08969,261.79998779296875,-0.4603118896484375,0.0
2013-05-09,258.7300109863281,263.54998779296875,256.8800048828125,260.1600036621094,260.1600036621094,2769300,AMZN,263.1333,269.20001220703125,2.973297119140625,0.0
2013-05-15,267.07000732421875,269.04998779296875,264.55999755859375,266.55999755859375,266.55999755859375,2720500,AMZN,269.64346,267.8299865722656,3.083465576171875,0.0
2013-05-31,266.0,271.9100036621094,265.94000244140625,269.20001220703125,269.20001220703125,3374300,AMZN,273.1371,273.3599853515625,3.93707275390625,0.0
2013-06-04,267.0,268.8800048828125,263.0199890136719,265.70001220703125,265.70001220703125,2088600,AMZN,272.21997,272.0899963378906,6.51995849609375,0.0
2013-06-06,267.75,270.5,264.2099914550781,267.8299865722656,267.8299865722656,2476300,AMZN,272.5733,277.54998779296875,4.743316650390625,0.0
2013-06-17,276.3500061035156,280.20001220703125,275.6499938964844,278.05999755859375,278.05999755859375,2884000,AMZN,283.66107,291.5299987792969,5.60107421875,0.0
2013-06-21,274.57000732421875,275.8399963378906,269.7900085449219,273.3599853515625,273.3599853515625,4201000,AMZN,279.2957,306.57000732421875,5.935699462890625,0.0
2013-07-03,282.0,285.3999938964844,282.0,284.0299987792969,284.0299987792969,1373000,AMZN,289.20642,303.3999938964844,5.176422119140625,0.0
2013-07-10,291.4100036621094,293.3399963378906,289.3999938964844,292.3299865722656,292.3299865722656,1810200,AMZN,297.95245,301.2200012207031,5.622467041015625,0.0
2013-07-11,294.989990234375,300.69000244140625,292.1000061035156,299.6600036621094,299.6600036621094,4007300,AMZN,302.8597,305.57000732421875,3.19970703125,0.0
2013-07-16,307.29998779296875,309.3900146484375,305.510009765625,306.8699951171875,306.8699951171875,2660200,AMZN,314.1846,300.75,0.0,-7.314605712890625
2013-07-23,303.1600036621094,305.05999755859375,300.55999755859375,301.05999755859375,301.05999755859375,1999600,AMZN,311.68372,293.9700012207031,0.0,-10.62371826171875
2013-08-08,298.5199890136719,298.5199890136719,292.54998779296875,295.739990234375,295.739990234375,2343400,AMZN,302.84796,283.9800109863281,0.0,-7.10797119140625
2013-08-09,295.67999267578125,299.2699890136719,294.29998779296875,297.260009765625,297.260009765625,1950300,AMZN,303.94302,280.9800109863281,0.0,-6.683013916015625
2013-08-14,294.2900085449219,294.2900085449219,290.5400085449219,291.3399963378906,291.3399963378906,1415000,AMZN,297.16275,294.1000061035156,5.82275390625,0.0
2013-08-26,290.42999267578125,291.04998779296875,285.6199951171875,286.2099914550781,286.2099914550781,1711700,AMZN,292.29822,304.1700134277344,6.088226318359375,0.0
2013-08-29,281.45001220703125,285.9800109863281,280.0,283.9800109863281,283.9800109863281,1566400,AMZN,287.62088,316.3399963378906,3.640869140625,0.0
2013-09-03,284.7300109863281,291.3900146484375,284.1700134277344,288.79998779296875,288.79998779296875,2897600,AMZN,289.81897,314.1300048828125,1.01898193359375,0.0
2013-09-05,293.6300048828125,297.0,292.7099914550781,294.1000061035156,294.1000061035156,1816600,AMZN,298.9906,318.1199951171875,4.890594482421875,0.0
2013-09-12,299.3900146484375,302.0,297.6600036621094,298.8599853515625,298.8599853515625,1606200,AMZN,303.74457,314.760009765625,4.88458251953125,0.0
2013-09-13,300.1400146484375,300.2200012207031,296.20001220703125,297.9200134277344,297.9200134277344,1350600,AMZN,304.20544,319.0400085449219,6.285430908203125,0.0
2013-09-16,299.82000732421875,301.0,295.260009765625,296.05999755859375,296.05999755859375,1808400,AMZN,304.74008,310.0299987792969,8.680084228515625,0.0
2013-09-24,312.42999267578125,318.0799865722656,311.2799987792969,314.1300048828125,314.1300048828125,2033600,AMZN,322.2939,306.3999938964844,0.0,-8.163909912109375
2013-10-03,320.3900146484375,322.9200134277344,313.0199890136719,314.760009765625,314.760009765625,2674800,AMZN,327.3732,332.2099914550781,12.613189697265625,0.0
2013-10-08,311.5,311.54998779296875,300.2699890136719,303.2300109863281,303.2300109863281,3166200,AMZN,314.37006,362.70001220703125,11.140045166015625,0.0
2013-11-04,360.1199951171875,361.0,354.3999938964844,358.739990234375,358.739990234375,1938400,AMZN,371.06567,376.6400146484375,12.32568359375,0.0
2013-11-14,357.3900146484375,368.94000244140625,356.42999267578125,367.3999938964844,367.3999938964844,4159800,AMZN,372.21567,386.95001220703125,4.815673828125,0.0
2013-11-18,370.2799987792969,373.489990234375,364.6700134277344,366.17999267578125,366.17999267578125,2737400,AMZN,377.16876,387.7799987792969,10.98876953125,0.0
2013-11-26,377.6099853515625,382.5,374.82000732421875,381.3699951171875,381.3699951171875,2724400,AMZN,387.88336,395.9599914550781,6.51336669921875,0.0
2013-12-03,390.1099853515625,390.95001220703125,383.1000061035156,384.6600036621094,384.6600036621094,3702900,AMZN,398.047,399.20001220703125,13.386993408203125,0.0
2013-12-06,388.3500061035156,388.3500061035156,383.8299865722656,386.95001220703125,386.95001220703125,1984700,AMZN,399.08978,393.3699951171875,12.1397705078125,0.0
2013-12-16,385.0299987792969,391.70001220703125,385.0,388.9700012207031,388.9700012207031,2251700,AMZN,400.47998,401.9200134277344,11.509979248046875,0.0
2013-12-19,394.2699890136719,397.2900085449219,392.6000061035156,395.19000244140625,395.19000244140625,2427200,AMZN,404.00897,390.9800109863281,0.0,-8.8189697265625
2013-12-20,396.54998779296875,404.7200012207031,395.7799987792969,402.20001220703125,402.20001220703125,5033900,AMZN,408.1385,397.5400085449219,0.0,-5.9384765625
2013-12-23,403.69000244140625,405.0,399.20001220703125,402.9200134277344,402.9200134277344,2659500,AMZN,411.74457,395.8699951171875,0.0,-8.824554443359375
2014-01-06,395.8500061035156,397.0,388.4200134277344,393.6300048828125,393.6300048828125,3170600,AMZN,404.05652,394.42999267578125,10.426513671875,0.0
2014-01-10,402.5299987792969,403.760009765625,393.79998779296875,397.6600036621094,397.6600036621094,2679500,AMZN,407.7626,346.1499938964844,0.0,-10.10260009765625
2014-01-29,392.1600036621094,392.8500061035156,383.239990234375,384.20001220703125,384.20001220703125,3382300,AMZN,396.65417,349.79998779296875,0.0,-12.45416259765625
2014-01-30,393.7699890136719,406.25,387.70001220703125,403.010009765625,403.010009765625,10473900,AMZN,399.83835,346.760009765625,0.0,3.171661376953125
